match_id,season,match_date,match_time,match_year,match_month,iso_weekday,home_team,away_team,home_goals_ft,away_goals_ft,result_ft,home_goals_ht,away_goals_ht,result_ht,total_goals,goal_diff_home,both_teams_scored,over_2_5,clean_sheet_home,clean_sheet_away,home_points,away_points,source_coverage,has_detailed_stats,league_code,shots_home,shots_away,shots_on_target_home,shots_on_target_away,fouls_home,fouls_away,corners_home,corners_away,yellow_cards_home,yellow_cards_away,red_cards_home,red_cards_away,odds_avg_home_open,odds_avg_draw_open,odds_avg_away_open,odds_avg_over_2_5_open,odds_avg_under_2_5_open,asian_handicap_line_open,odds_avg_asian_home_open,odds_avg_asian_away_open,odds_avg_home_close,odds_avg_draw_close,odds_avg_away_close,odds_avg_over_2_5_close,odds_avg_under_2_5_close,asian_handicap_line_close,odds_avg_asian_home_close,odds_avg_asian_away_close
1995-09-02_la_coruna_valencia,1995-96,1995-09-02,,1995,9,6,La Coruna,Valencia,3,0,H,2,0,H,3,3,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-02_sp_gijon_albacete,1995-96,1995-09-02,,1995,9,6,Sp Gijon,Albacete,3,0,H,3,0,H,3,3,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03_ath_bilbao_santander,1995-96,1995-09-03,,1995,9,7,Ath Bilbao,Santander,4,0,H,2,0,H,4,4,False,True,True,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03_ath_madrid_sociedad,1995-96,1995-09-03,,1995,9,7,Ath Madrid,Sociedad,4,1,H,1,1,D,5,3,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03_celta_compostela,1995-96,1995-09-03,,1995,9,7,Celta,Compostela,0,1,A,0,0,D,1,-1,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03_espanol_salamanca,1995-96,1995-09-03,,1995,9,7,Espanol,Salamanca,3,1,H,2,1,H,4,2,True,True,False,False,3,0,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03_merida_betis,1995-96,1995-09-03,,1995,9,7,Merida,Betis,1,1,D,1,1,D,2,0,True,False,False,False,1,1,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03_sevilla_tenerife,1995-96,1995-09-03,,1995,9,7,Sevilla,Tenerife,0,1,A,0,0,D,1,-1,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03_valladolid_barcelona,1995-96,1995-09-03,,1995,9,7,Valladolid,Barcelona,0,2,A,0,0,D,2,-2,False,False,False,True,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995-09-03_vallecano_real_madrid,1995-96,1995-09-03,,1995,9,7,Vallecano,Real Madrid,1,5,A,0,1,A,6,-4,True,True,False,False,0,3,historical_only,False,SP1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
