match_id,season,split
1995-09-02_la_coruna_valencia,1995-96,train
1995-09-02_sp_gijon_albacete,1995-96,train
1995-09-03_ath_bilbao_santander,1995-96,train
1995-09-03_ath_madrid_sociedad,1995-96,train
1995-09-03_celta_compostela,1995-96,train
1995-09-03_espanol_salamanca,1995-96,train
1995-09-03_merida_betis,1995-96,train
1995-09-03_sevilla_tenerife,1995-96,train
1995-09-03_valladolid_barcelona,1995-96,train
1995-09-03_vallecano_real_madrid,1995-96,train
1995-09-03_zaragoza_oviedo,1995-96,train
1995-09-09_albacete_sevilla,1995-96,train
1995-09-09_barcelona_merida,1995-96,train
1995-09-09_betis_zaragoza,1995-96,train
1995-09-09_real_madrid_ath_bilbao,1995-96,train
1995-09-10_compostela_la_coruna,1995-96,train
1995-09-10_oviedo_vallecano,1995-96,train
1995-09-10_salamanca_celta,1995-96,train
1995-09-10_santander_ath_madrid,1995-96,train
1995-09-10_sociedad_sp_gijon,1995-96,train
1995-09-10_tenerife_espanol,1995-96,train
1995-09-10_valencia_valladolid,1995-96,train
1995-09-16_ath_bilbao_ath_madrid,1995-96,train
1995-09-17_celta_tenerife,1995-96,train
1995-09-17_espanol_albacete,1995-96,train
1995-09-17_la_coruna_salamanca,1995-96,train
1995-09-17_merida_valencia,1995-96,train
1995-09-17_real_madrid_oviedo,1995-96,train
1995-09-17_sevilla_sociedad,1995-96,train
1995-09-17_sp_gijon_santander,1995-96,train
1995-09-17_valladolid_compostela,1995-96,train
1995-09-17_vallecano_betis,1995-96,train
1995-09-17_zaragoza_barcelona,1995-96,train
1995-09-23_barcelona_vallecano,1995-96,train
1995-09-23_betis_real_madrid,1995-96,train
1995-09-23_santander_sevilla,1995-96,train
1995-09-24_albacete_celta,1995-96,train
1995-09-24_ath_madrid_sp_gijon,1995-96,train
1995-09-24_compostela_merida,1995-96,train
1995-09-24_oviedo_ath_bilbao,1995-96,train
1995-09-24_salamanca_valladolid,1995-96,train
1995-09-24_sociedad_espanol,1995-96,train
1995-09-24_tenerife_la_coruna,1995-96,train
1995-09-24_valencia_zaragoza,1995-96,train
1995-09-30_ath_bilbao_sp_gijon,1995-96,train
1995-09-30_real_madrid_barcelona,1995-96,train
1995-10-01_celta_sociedad,1995-96,train
1995-10-01_espanol_santander,1995-96,train
1995-10-01_la_coruna_albacete,1995-96,train
1995-10-01_merida_salamanca,1995-96,train
1995-10-01_oviedo_betis,1995-96,train
1995-10-01_sevilla_ath_madrid,1995-96,train
1995-10-01_valladolid_tenerife,1995-96,train
1995-10-01_vallecano_valencia,1995-96,train
1995-10-01_zaragoza_compostela,1995-96,train
1995-10-04_albacete_valladolid,1995-96,train
1995-10-04_barcelona_oviedo,1995-96,train
1995-10-04_betis_ath_bilbao,1995-96,train
1995-10-04_compostela_vallecano,1995-96,train
1995-10-04_salamanca_zaragoza,1995-96,train
1995-10-04_santander_celta,1995-96,train
1995-10-04_sociedad_la_coruna,1995-96,train
1995-10-04_sp_gijon_sevilla,1995-96,train
1995-10-04_tenerife_merida,1995-96,train
1995-10-04_valencia_real_madrid,1995-96,train
1995-10-05_ath_madrid_espanol,1995-96,train
1995-10-07_betis_barcelona,1995-96,train
1995-10-08_ath_bilbao_sevilla,1995-96,train
1995-10-08_celta_ath_madrid,1995-96,train
1995-10-08_espanol_sp_gijon,1995-96,train
1995-10-08_la_coruna_santander,1995-96,train
1995-10-08_merida_albacete,1995-96,train
1995-10-08_oviedo_valencia,1995-96,train
1995-10-08_real_madrid_compostela,1995-96,train
1995-10-08_valladolid_sociedad,1995-96,train
1995-10-08_vallecano_salamanca,1995-96,train
1995-10-08_zaragoza_tenerife,1995-96,train
1995-10-14_ath_madrid_la_coruna,1995-96,train
1995-10-14_barcelona_ath_bilbao,1995-96,train
1995-10-14_sevilla_espanol,1995-96,train
1995-10-14_valencia_betis,1995-96,train
1995-10-15_albacete_zaragoza,1995-96,train
1995-10-15_compostela_oviedo,1995-96,train
1995-10-15_salamanca_real_madrid,1995-96,train
1995-10-15_santander_valladolid,1995-96,train
1995-10-15_sociedad_merida,1995-96,train
1995-10-15_sp_gijon_celta,1995-96,train
1995-10-15_tenerife_vallecano,1995-96,train
1995-10-21_valladolid_ath_madrid,1995-96,train
1995-10-22_ath_bilbao_espanol,1995-96,train
1995-10-22_barcelona_valencia,1995-96,train
1995-10-22_betis_compostela,1995-96,train
1995-10-22_celta_sevilla,1995-96,train
1995-10-22_la_coruna_sp_gijon,1995-96,train
1995-10-22_merida_santander,1995-96,train
1995-10-22_oviedo_salamanca,1995-96,train
1995-10-22_real_madrid_tenerife,1995-96,train
1995-10-22_vallecano_albacete,1995-96,train
1995-10-22_zaragoza_sociedad,1995-96,train
1995-10-28_albacete_real_madrid,1995-96,train
1995-10-28_compostela_barcelona,1995-96,train
1995-10-28_sevilla_la_coruna,1995-96,train
1995-10-29_ath_madrid_merida,1995-96,train
1995-10-29_espanol_celta,1995-96,train
1995-10-29_salamanca_betis,1995-96,train
1995-10-29_santander_zaragoza,1995-96,train
1995-10-29_sociedad_vallecano,1995-96,train
1995-10-29_sp_gijon_valladolid,1995-96,train
1995-10-29_tenerife_oviedo,1995-96,train
1995-10-29_valencia_ath_bilbao,1995-96,train
1995-11-04_real_madrid_sociedad,1995-96,train
1995-11-05_ath_bilbao_celta,1995-96,train
1995-11-05_barcelona_salamanca,1995-96,train
1995-11-05_betis_tenerife,1995-96,train
1995-11-05_la_coruna_espanol,1995-96,train
1995-11-05_merida_sp_gijon,1995-96,train
1995-11-05_oviedo_albacete,1995-96,train
1995-11-05_valencia_compostela,1995-96,train
1995-11-05_valladolid_sevilla,1995-96,train
1995-11-05_vallecano_santander,1995-96,train
1995-11-05_zaragoza_ath_madrid,1995-96,train
1995-11-11_celta_la_coruna,1995-96,train
1995-11-12_albacete_betis,1995-96,train
1995-11-12_ath_madrid_vallecano,1995-96,train
1995-11-12_compostela_ath_bilbao,1995-96,train
1995-11-12_espanol_valladolid,1995-96,train
1995-11-12_salamanca_valencia,1995-96,train
1995-11-12_santander_real_madrid,1995-96,train
1995-11-12_sevilla_merida,1995-96,train
1995-11-12_sociedad_oviedo,1995-96,train
1995-11-12_sp_gijon_zaragoza,1995-96,train
1995-11-12_tenerife_barcelona,1995-96,train
1995-11-18_barcelona_albacete,1995-96,train
1995-11-18_betis_sociedad,1995-96,train
1995-11-18_real_madrid_ath_madrid,1995-96,train
1995-11-18_zaragoza_sevilla,1995-96,train
1995-11-19_ath_bilbao_la_coruna,1995-96,train
1995-11-19_compostela_salamanca,1995-96,train
1995-11-19_merida_espanol,1995-96,train
1995-11-19_oviedo_santander,1995-96,train
1995-11-19_valencia_tenerife,1995-96,train
1995-11-19_valladolid_celta,1995-96,train
1995-11-19_vallecano_sp_gijon,1995-96,train
1995-11-25_sociedad_barcelona,1995-96,train
1995-11-26_albacete_valencia,1995-96,train
1995-11-26_ath_madrid_oviedo,1995-96,train
1995-11-26_celta_merida,1995-96,train
1995-11-26_espanol_zaragoza,1995-96,train
1995-11-26_la_coruna_valladolid,1995-96,train
1995-11-26_salamanca_ath_bilbao,1995-96,train
1995-11-26_santander_betis,1995-96,train
1995-11-26_sevilla_vallecano,1995-96,train
1995-11-26_sp_gijon_real_madrid,1995-96,train
1995-11-26_tenerife_compostela,1995-96,train
1995-12-02_barcelona_santander,1995-96,train
1995-12-02_real_madrid_sevilla,1995-96,train
1995-12-02_vallecano_espanol,1995-96,train
1995-12-03_ath_bilbao_valladolid,1995-96,train
1995-12-03_betis_ath_madrid,1995-96,train
1995-12-03_compostela_albacete,1995-96,train
1995-12-03_merida_la_coruna,1995-96,train
1995-12-03_oviedo_sp_gijon,1995-96,train
1995-12-03_salamanca_tenerife,1995-96,train
1995-12-03_valencia_sociedad,1995-96,train
1995-12-03_zaragoza_celta,1995-96,train
1995-12-09_ath_madrid_barcelona,1995-96,train
1995-12-09_santander_valencia,1995-96,train
1995-12-10_albacete_salamanca,1995-96,train
1995-12-10_celta_vallecano,1995-96,train
1995-12-10_espanol_real_madrid,1995-96,train
1995-12-10_la_coruna_zaragoza,1995-96,train
1995-12-10_sevilla_oviedo,1995-96,train
1995-12-10_sociedad_compostela,1995-96,train
1995-12-10_sp_gijon_betis,1995-96,train
1995-12-10_tenerife_ath_bilbao,1995-96,train
1995-12-10_valladolid_merida,1995-96,train
1995-12-16_barcelona_sp_gijon,1995-96,train
1995-12-16_betis_sevilla,1995-96,train
1995-12-17_ath_bilbao_merida,1995-96,train
1995-12-17_compostela_santander,1995-96,train
1995-12-17_oviedo_espanol,1995-96,train
1995-12-17_real_madrid_celta,1995-96,train
1995-12-17_salamanca_sociedad,1995-96,train
1995-12-17_tenerife_albacete,1995-96,train
1995-12-17_valencia_ath_madrid,1995-96,train
1995-12-17_vallecano_la_coruna,1995-96,train
1995-12-17_zaragoza_valladolid,1995-96,train
1995-12-20_albacete_ath_bilbao,1995-96,train
1995-12-20_ath_madrid_compostela,1995-96,train
1995-12-20_celta_oviedo,1995-96,train
1995-12-20_espanol_betis,1995-96,train
1995-12-20_merida_zaragoza,1995-96,train
1995-12-20_santander_salamanca,1995-96,train
1995-12-20_sevilla_barcelona,1995-96,train
1995-12-20_sociedad_tenerife,1995-96,train
1995-12-20_sp_gijon_valencia,1995-96,train
1995-12-20_valladolid_vallecano,1995-96,train
1995-12-21_la_coruna_real_madrid,1995-96,train
1996-01-03_albacete_sociedad,1995-96,train
1996-01-03_ath_bilbao_zaragoza,1995-96,train
1996-01-03_betis_celta,1995-96,train
1996-01-03_compostela_sp_gijon,1995-96,train
1996-01-03_oviedo_la_coruna,1995-96,train
1996-01-03_real_madrid_valladolid,1995-96,train
1996-01-03_salamanca_ath_madrid,1995-96,train
1996-01-03_tenerife_santander,1995-96,train
1996-01-03_valencia_sevilla,1995-96,train
1996-01-03_vallecano_merida,1995-96,train
1996-01-04_barcelona_espanol,1995-96,train
1996-01-06_ath_bilbao_sociedad,1995-96,train
1996-01-06_ath_madrid_tenerife,1995-96,train
1996-01-07_celta_barcelona,1995-96,train
1996-01-07_espanol_valencia,1995-96,train
1996-01-07_la_coruna_betis,1995-96,train
1996-01-07_merida_real_madrid,1995-96,train
1996-01-07_santander_albacete,1995-96,train
1996-01-07_sevilla_compostela,1995-96,train
1996-01-07_sp_gijon_salamanca,1995-96,train
1996-01-07_valladolid_oviedo,1995-96,train
1996-01-07_zaragoza_vallecano,1995-96,train
1996-01-13_albacete_ath_madrid,1995-96,train
1996-01-13_betis_valladolid,1995-96,train
1996-01-14_barcelona_la_coruna,1995-96,train
1996-01-14_compostela_espanol,1995-96,train
1996-01-14_oviedo_merida,1995-96,train
