column,description,dtype,role,allowed_values_or_range,missing_count,missing_pct,null_treatment,available_at_inference,leakage_risk
match_id,Identificador único fecha-local-visitante.,string,identifier,1995-09-02_la_coruna_valencia | 1995-09-02_sp_gijon_albacete | 1995-09-03_ath_bilbao_santander | 1995-09-03_ath_madrid_sociedad | 1995-09-03_celta_compostela | 1995-09-03_espanol_salamanca | 1995-09-03_merida_betis | 1995-09-03_sevilla_tenerife | 1995-09-03_valladolid_barcelona | 1995-09-03_vallecano_real_madrid | 1995-09-03_zaragoza_oviedo | 1995-09-09_albacete_sevilla | …,0,0.0,reject_row_if_missing,pre_match,none_but_no_predictive_role
season,Temporada normalizada YYYY-YY.,string,candidate_feature,1995-96 | 1996-97 | 1997-98 | 1998-99 | 1999-00 | 2000-01 | 2001-02 | 2002-03 | 2003-04 | 2004-05 | 2005-06 | 2006-07 | …,0,0.0,pipeline_decision_pending,pre_match,none_identified
match_date,Fecha del encuentro.,datetime,candidate_feature,1995-09-02 .. 2023-06-04,0,0.0,pipeline_decision_pending,pre_match,none_identified
match_time,Hora publicada del encuentro; solo disponible en la fuente detallada.,string,candidate_feature,,10804,1.0,pipeline_decision_pending,pre_match,none_identified
match_year,Año natural derivado de la fecha.,Int64,candidate_feature,1995 .. 2023,0,0.0,pipeline_decision_pending,pre_match,none_identified
match_month,Mes natural derivado de la fecha.,Int64,candidate_feature,1 .. 12,0,0.0,pipeline_decision_pending,pre_match,none_identified
iso_weekday,"Día ISO de la semana (1=lunes, 7=domingo).",Int64,candidate_feature,1 .. 7,0,0.0,pipeline_decision_pending,pre_match,none_identified
home_team,Equipo local.,string,candidate_feature,Alaves | Albacete | Almeria | Ath Bilbao | Ath Madrid | Barcelona | Betis | Cadiz | Celta | Compostela | Cordoba | Eibar | …,0,0.0,pipeline_decision_pending,pre_match,none_identified
away_team,Equipo visitante.,string,candidate_feature,Alaves | Albacete | Almeria | Ath Bilbao | Ath Madrid | Barcelona | Betis | Cadiz | Celta | Compostela | Cordoba | Eibar | …,0,0.0,pipeline_decision_pending,pre_match,none_identified
home_goals_ft,Home goals ft.,Int64,excluded,0 .. 10,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
away_goals_ft,Away goals ft.,Int64,excluded,0 .. 8,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
result_ft,"Target provisional: H local, D empate, A visitante.",string,target,A | D | H,0,0.0,reject_row_if_missing,after_match,target
home_goals_ht,Home goals ht.,Int64,excluded,0 .. 6,2,0.00018511662347278786,do_not_impute_for_pre_match_model,after_match,critical_post_event
away_goals_ht,Away goals ht.,Int64,excluded,0 .. 6,2,0.00018511662347278786,do_not_impute_for_pre_match_model,after_match,critical_post_event
result_ht,Result ht.,string,excluded,A | D | H,2,0.00018511662347278786,do_not_impute_for_pre_match_model,after_match,critical_post_event
total_goals,Total goals.,Int64,excluded,0 .. 12,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
goal_diff_home,Goal diff home.,Int64,excluded,-8 .. 8,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
both_teams_scored,Both teams scored.,boolean,excluded,0 .. 1,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
over_2_5,Over 2 5.,boolean,excluded,0 .. 1,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
clean_sheet_home,Clean sheet home.,boolean,excluded,0 .. 1,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
clean_sheet_away,Clean sheet away.,boolean,excluded,0 .. 1,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
home_points,Home points.,Int64,excluded,0 .. 3,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
away_points,Away points.,Int64,excluded,0 .. 3,0,0.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
source_coverage,Cobertura de la fila en las fuentes raw.,string,excluded,historical_only,0,0.0,not_applicable,pipeline_metadata,source_or_coverage_proxy
has_detailed_stats,Indica disponibilidad del bloque detallado 2025-26.,boolean,excluded,0 .. 0,0,0.0,not_applicable,pipeline_metadata,source_or_coverage_proxy
league_code,Código de competición de la fuente.,string,excluded,SP1,0,0.0,not_applicable,pipeline_metadata,source_or_coverage_proxy
shots_home,Shots home.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
shots_away,Shots away.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
shots_on_target_home,Shots on target home.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
shots_on_target_away,Shots on target away.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
fouls_home,Fouls home.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
fouls_away,Fouls away.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
corners_home,Corners home.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
corners_away,Corners away.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
yellow_cards_home,Yellow cards home.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
yellow_cards_away,Yellow cards away.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
red_cards_home,Red cards home.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
red_cards_away,Red cards away.,Int64,excluded,sin valores,10804,1.0,do_not_impute_for_pre_match_model,after_match,critical_post_event
odds_avg_home_open,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,candidate_feature,sin valores,10804,1.0,pipeline_decision_pending,pre_match,none_identified
odds_avg_draw_open,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,candidate_feature,sin valores,10804,1.0,pipeline_decision_pending,pre_match,none_identified
odds_avg_away_open,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,candidate_feature,sin valores,10804,1.0,pipeline_decision_pending,pre_match,none_identified
odds_avg_over_2_5_open,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,candidate_feature,sin valores,10804,1.0,pipeline_decision_pending,pre_match,none_identified
odds_avg_under_2_5_open,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,candidate_feature,sin valores,10804,1.0,pipeline_decision_pending,pre_match,none_identified
asian_handicap_line_open,Línea de hándicap asiático media del mercado indicado.,float64,candidate_feature,sin valores,10804,1.0,pipeline_decision_pending,pre_match,none_identified
odds_avg_asian_home_open,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,candidate_feature,sin valores,10804,1.0,pipeline_decision_pending,pre_match,none_identified
odds_avg_asian_away_open,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,candidate_feature,sin valores,10804,1.0,pipeline_decision_pending,pre_match,none_identified
odds_avg_home_close,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,conditional_feature,sin valores,10804,1.0,pipeline_decision_pending,near_kickoff_only,timing_risk
odds_avg_draw_close,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,conditional_feature,sin valores,10804,1.0,pipeline_decision_pending,near_kickoff_only,timing_risk
odds_avg_away_close,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,conditional_feature,sin valores,10804,1.0,pipeline_decision_pending,near_kickoff_only,timing_risk
odds_avg_over_2_5_close,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,conditional_feature,sin valores,10804,1.0,pipeline_decision_pending,near_kickoff_only,timing_risk
odds_avg_under_2_5_close,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,conditional_feature,sin valores,10804,1.0,pipeline_decision_pending,near_kickoff_only,timing_risk
asian_handicap_line_close,Línea de hándicap asiático media del mercado indicado.,float64,conditional_feature,sin valores,10804,1.0,pipeline_decision_pending,near_kickoff_only,timing_risk
odds_avg_asian_home_close,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,conditional_feature,sin valores,10804,1.0,pipeline_decision_pending,near_kickoff_only,timing_risk
odds_avg_asian_away_close,Cuota media decimal del mercado indicado en el nombre de la variable.,float64,conditional_feature,sin valores,10804,1.0,pipeline_decision_pending,near_kickoff_only,timing_risk
